Delivery_person_Age,Delivery_person_Ratings,Restaurant_latitude,Restaurant_longitude,Delivery_location_latitude,Delivery_location_longitude,Weather_conditions,Road_traffic_density,Vehicle_condition,Type_of_vehicle,multiple_deliveries,City,Time_taken(min),Day_Ordered,Month_Ordered,Year_Ordered,Type_of_order_Buffet,Type_of_order_Drinks,Type_of_order_Meal,Type_of_order_Snack,Festival_Yes
35.0,4.0,22.538999,88.322337,22.578999,88.362337,3,3,0,1,1.0,2,38,11,2,2022,0,1,0,0,0
28.0,5.0,23.333017,85.3172,23.393017,85.3772,3,3,0,1,0.0,2,23,1,3,2022,0,0,1,0,0
25.0,4.0,19.091458,72.827808,19.101458,72.837808,3,4,0,1,0.0,2,19,7,3,2022,0,0,1,0,0
32.0,4.2,22.310237,73.158921,22.400237,73.248921,3,3,0,1,1.0,3,35,8,3,2022,0,0,1,0,0
36.0,4.7,17.483216,78.552111,17.493216,78.562111,6,4,0,1,1.0,3,25,11,3,2022,0,0,1,0,0
37.0,4.6,26.913987,75.752891,27.053987,75.892891,6,1,2,2,0.0,2,26,6,3,2022,1,0,0,0,0
29.0,4.7,18.994237,72.825553,19.084237,72.915553,4,3,2,2,1.0,2,21,20,3,2022,0,0,1,0,0
20.0,4.9,19.1813,72.836191,19.1913,72.846191,6,4,1,1,0.0,2,18,24,3,2022,0,0,1,0,0
38.0,4.6,12.310972,76.659264,12.390972,76.739264,5,4,1,1,0.0,3,18,16,3,2022,1,0,0,0,0
21.0,4.9,26.90519,75.810753,26.98519,75.890753,2,4,0,1,1.0,3,20,2,4,2022,1,0,0,0,0
36.0,4.7,19.065838,72.832658,19.155838,72.922658,4,3,0,1,1.0,2,42,6,3,2022,0,1,0,0,0
33.0,4.6,12.323978,76.627961,12.453978,76.757961,3,1,2,3,1.0,2,30,29,3,2022,0,0,1,0,0
25.0,4.5,17.41233,78.449654,17.49233,78.529654,1,3,0,1,1.0,2,34,18,3,2022,1,0,0,0,0
30.0,4.4,22.515082,88.36783,22.625082,88.47783,6,1,0,1,1.0,3,32,12,2,2022,0,0,0,1,0
28.0,4.8,15.546594,73.760431,15.596594,73.810431,1,1,1,2,1.0,2,20,11,2,2022,0,1,0,0,0
31.0,4.0,9.957144,76.296783,10.047144,76.386783,1,3,2,1,0.0,2,42,18,2,2022,1,0,0,0,0
37.0,4.7,26.469003,80.316344,26.509003,80.356344,3,2,1,2,0.0,2,27,17,2,2022,0,0,0,1,0
33.0,4.3,17.451976,78.385883,17.541976,78.475883,3,1,2,1,1.0,2,44,2,3,2022,1,0,0,0,0
33.0,4.9,23.359407,85.325055,23.369407,85.335055,3,4,2,3,0.0,3,21,26,3,2022,0,0,1,0,0
37.0,4.9,11.003681,76.975525,11.053681,77.025525,3,4,1,1,1.0,2,24,7,3,2022,0,1,0,0,0
37.0,4.6,0.0,0.0,0.07,0.07,1,1,0,1,2.0,2,40,25,3,2022,0,1,0,0,0
36.0,4.8,19.22384,72.841347,19.25384,72.871347,1,4,2,2,0.0,2,18,21,3,2022,0,0,1,0,0
28.0,4.4,11.010375,76.95295,11.060375,77.00295,5,4,0,1,1.0,2,29,15,3,2022,1,0,0,0,0
28.0,4.7,25.449872,81.836167,25.559872,81.946167,1,4,2,1,1.0,2,20,18,2,2022,1,0,0,0,0
21.0,4.2,10.96185,76.971082,11.07185,77.081082,5,1,0,1,0.0,2,39,10,3,2022,0,1,0,0,0
23.0,4.0,21.157735,72.768778,21.237735,72.848778,4,3,0,1,0.0,2,38,4,3,2022,0,1,0,0,0
22.0,4.9,12.323978,76.627961,12.353978,76.657961,5,1,2,2,0.0,2,15,5,4,2022,0,1,0,0,0
37.0,4.4,0.0,0.0,0.07,0.07,5,1,0,1,0.0,2,50,10,3,2022,0,0,1,0,0
35.0,4.8,18.592718,73.773572,18.602718,73.783572,6,4,1,2,0.0,2,13,3,3,2022,0,0,0,1,0
34.0,4.7,12.986047,80.218114,13.116047,80.348114,4,3,0,1,1.0,2,42,31,3,2022,1,0,0,0,0
29.6091523786525,,-17.429585,-78.392621,17.479585,78.442621,1,3,2,3,0.0,2,16,24,3,2022,1,0,0,0,0
20.0,4.6,0.0,0.0,0.13,0.13,3,3,0,1,0.0,2,26,12,2,2022,0,0,1,0,0
21.0,4.0,0.0,0.0,0.07,0.07,5,1,0,1,0.0,2,32,6,4,2022,0,0,0,1,0
26.0,4.6,13.066762,80.251865,13.196762,80.381865,4,3,2,1,1.0,2,19,8,3,2022,0,0,0,1,0
22.0,4.6,23.39925,85.390464,23.46925,85.460464,4,1,0,1,1.0,2,31,25,3,2022,0,0,0,1,0
32.0,4.9,21.173343,72.792731,21.263343,72.882731,2,3,0,1,0.0,2,41,27,3,2022,0,0,1,0,0
37.0,4.7,15.516833,73.768172,15.576833,73.828172,4,4,2,2,0.0,2,20,11,2,2022,1,0,0,0,0
28.0,4.5,12.310972,76.659264,12.370972,76.719264,3,3,0,1,0.0,2,10,26,3,2022,0,0,0,1,0
39.0,5.0,0.0,0.0,0.02,0.02,2,4,0,1,0.0,3,21,17,2,2022,1,0,0,0,0
31.0,4.5,23.333017,85.3172,23.353017,85.3372,1,4,1,2,1.0,3,15,1,4,2022,0,1,0,0,0
24.0,4.6,12.352058,76.60665,12.392058,76.64665,1,2,2,1,1.0,2,20,28,3,2022,0,0,0,1,0
20.0,4.5,26.911927,75.797282,26.991927,75.877282,5,3,1,2,1.0,3,17,2,4,2022,0,1,0,0,0
39.0,3.6,13.027018,80.254791,13.107018,80.334791,5,1,1,2,1.0,3,34,2,3,2022,0,0,0,1,0
32.0,4.2,22.310329,73.169083,22.360329,73.219083,5,1,1,1,1.0,2,34,21,3,2022,0,0,1,0,0
20.0,4.9,17.458998,78.500366,17.468998,78.510366,5,4,1,1,1.0,2,19,19,3,2022,0,0,0,1,0
31.0,4.4,19.121999,72.908493,19.211999,72.998493,4,1,0,1,1.0,2,39,4,4,2022,0,0,1,0,0
22.0,4.7,26.910262,75.783013,26.950262,75.823013,2,3,0,1,0.0,2,21,15,3,2022,1,0,0,0,0
32.0,4.2,12.978453,77.643685,13.068453,77.733685,5,3,0,1,1.0,2,33,20,3,2022,0,0,0,1,0
20.0,4.9,12.352058,76.60665,12.462058,76.71665,6,3,2,2,1.0,3,18,12,3,2022,1,0,0,0,0
33.0,4.2,11.010375,76.95295,11.140375,77.08295,2,4,1,2,0.0,2,35,16,3,2022,0,0,1,0,0
26.0,4.3,26.891191,75.802083,26.931191,75.842083,1,2,2,2,1.0,2,33,3,4,2022,0,1,0,0,0
37.0,4.2,12.914264,77.6784,12.934264,77.6984,5,4,0,1,0.0,2,31,3,3,2022,0,1,0,0,0
37.0,4.9,18.927584,72.832585,18.947584,72.852585,6,4,2,1,0.0,2,15,1,3,2022,0,1,0,0,0
20.0,4.8,27.201725,78.007553,27.261725,78.067553,6,4,0,1,1.0,2,18,17,2,2022,0,0,0,1,0
33.0,4.7,0.0,0.0,0.08,0.08,1,3,0,1,0.0,2,37,4,4,2022,0,1,0,0,0
35.0,4.6,26.90294,75.793007,26.94294,75.833007,3,2,2,2,0.0,3,25,7,3,2022,0,1,0,0,0
34.0,4.8,22.553227,88.353273,22.683227,88.483273,1,3,2,2,2.0,3,44,14,2,2022,0,0,0,1,0
37.0,5.0,19.874103,75.368419,19.904103,75.398419,5,1,0,1,1.0,2,32,17,2,2022,0,1,0,0,0
25.0,4.6,13.064181,80.236442,13.094181,80.266442,6,1,2,2,1.0,2,17,1,3,2022,0,0,0,1,0
34.0,4.4,18.53408,73.89852,18.61408,73.97852,1,3,2,2,1.0,3,34,6,4,2022,0,0,1,0,0
22.0,4.8,11.003669,76.976494,11.023669,76.996494,2,4,2,3,1.0,2,14,3,4,2022,0,0,0,1,0
33.0,4.6,27.160934,78.044095,27.240934,78.124095,6,1,2,2,1.0,3,27,14,2,2022,0,0,1,0,0
31.0,4.6,12.310972,76.659264,12.400972,76.749264,6,4,1,1,1.0,2,26,2,4,2022,0,0,1,0,0
38.0,3.7,17.433809,78.386744,17.513809,78.466744,2,4,1,1,1.0,2,33,2,3,2022,0,0,1,0,0
22.0,4.6,0.0,0.0,0.06,0.06,2,1,1,2,1.0,2,32,1,4,2022,0,1,0,0,0
33.0,4.9,11.001852,76.976268,11.091852,77.066268,4,4,1,1,1.0,3,24,25,3,2022,1,0,0,0,0
38.0,4.5,18.55144,73.804855,18.61144,73.864855,4,1,1,2,1.0,2,30,1,4,2022,0,1,0,0,0
35.0,4.6,9.991703,76.293136,10.011703,76.313136,4,4,1,1,1.0,2,29,17,2,2022,0,0,1,0,0
21.0,4.8,21.185047,72.80859,21.295047,72.91859,3,1,2,1,1.0,2,28,23,3,2022,1,0,0,0,0
32.0,4.8,21.170096,72.789122,21.180096,72.799122,5,4,1,1,0.0,3,25,9,3,2022,1,0,0,0,0
26.0,4.6,12.979166,77.640709,13.049166,77.710709,5,1,2,2,1.0,2,23,25,3,2022,1,0,0,0,0
37.0,4.6,26.913987,75.752891,27.043987,75.882891,4,4,2,1,1.0,3,19,18,3,2022,0,0,0,1,0
28.0,4.7,13.022394,80.242439,13.102394,80.322439,3,4,0,1,0.0,3,16,31,3,2022,0,0,0,1,0
20.0,4.9,11.008638,76.984311,11.068638,77.044311,1,3,2,3,1.0,2,19,19,3,2022,0,1,0,0,0
34.0,4.9,12.935662,77.61413,12.955662,77.63413,3,4,1,2,1.0,3,21,17,3,2022,0,0,1,0,0
30.0,4.7,22.751857,75.866699,22.881857,75.996699,6,3,1,1,1.0,3,17,31,3,2022,0,1,0,0,0
21.0,4.1,0.0,0.0,0.08,0.08,2,1,2,2,1.0,2,44,12,2,2022,0,0,0,1,0
21.0,5.0,21.170798,72.790489,21.250798,72.870489,5,3,0,1,1.0,2,38,8,3,2022,0,0,0,1,0
30.0,4.8,12.972532,77.608179,13.102532,77.738179,4,1,1,2,1.0,2,30,20,3,2022,0,0,0,1,0
33.0,4.7,12.323978,76.627961,12.433978,76.737961,5,3,0,1,1.0,2,30,14,3,2022,0,0,0,1,0
25.0,4.9,11.001852,76.976268,11.081852,77.056268,1,4,2,3,1.0,3,20,8,3,2022,1,0,0,0,0
38.0,4.4,17.458998,78.500366,17.518998,78.560366,2,3,0,1,0.0,2,31,26,3,2022,0,0,0,1,0
23.0,4.5,10.028047,76.310019,10.088047,76.370019,4,1,2,2,1.0,2,22,15,2,2022,0,0,1,0,0
29.0,4.7,22.311603,73.165012,22.351603,73.205012,5,3,0,1,1.0,3,24,19,3,2022,0,0,0,1,0
31.0,4.6,26.88842,75.800689,26.96842,75.880689,6,1,2,3,0.0,2,16,10,3,2022,0,1,0,0,0
27.0,4.8,19.176269,72.836721,19.196269,72.856721,6,2,2,2,1.0,2,19,5,3,2022,0,0,0,1,0
34.0,4.9,22.745536,75.893106,22.825536,75.973106,6,3,0,1,1.0,2,33,6,3,2022,0,0,1,0,0
22.0,5.0,11.022477,76.995667,11.082477,77.055667,1,1,2,3,1.0,3,21,5,3,2022,1,0,0,0,0
26.0,4.6,12.337978,76.616792,12.387978,76.666792,1,3,0,1,1.0,2,25,21,3,2022,0,0,0,1,0
24.0,4.8,22.725835,75.887648,22.765835,75.927648,2,2,0,1,1.0,3,21,15,3,2022,0,1,0,0,0
20.0,4.9,12.297954,76.665169,12.357954,76.725169,6,3,1,1,1.0,2,17,5,4,2022,0,0,0,1,0
33.0,4.1,12.337928,76.617889,12.407928,76.687889,4,1,0,1,1.0,2,50,4,4,2022,1,0,0,0,0
28.0,4.9,26.902908,75.792934,26.952908,75.842934,1,3,2,2,0.0,2,18,3,4,2022,0,0,0,1,0
35.0,4.6,26.902908,75.792934,26.962908,75.852934,6,1,2,2,1.0,3,16,3,3,2022,0,1,0,0,0
28.0,,-23.184992,77.417227,23.254992,77.487227,4,3,0,1,1.0,3,23,18,2,2022,1,0,0,0,0
21.0,4.2,17.411028,78.329645,17.431028,78.349645,3,4,0,1,0.0,2,22,13,3,2022,1,0,0,0,0
39.0,4.7,12.975996,80.221898,13.055996,80.301898,2,1,0,1,2.0,2,53,12,3,2022,0,0,0,1,0
25.0,4.6,18.994049,72.825203,19.014049,72.845203,5,4,1,2,1.0,2,11,3,3,2022,0,0,0,1,0
35.0,4.3,19.176269,72.836721,19.186269,72.846721,4,2,1,2,1.0,2,32,5,3,2022,0,0,0,1,0
21.0,4.8,21.186884,72.793616,21.206884,72.813616,1,4,2,3,1.0,2,17,17,3,2022,0,0,1,0,0
25.0,4.9,13.064181,80.236442,13.094181,80.266442,4,1,0,1,1.0,2,31,15,3,2022,0,0,0,1,0
39.0,4.8,12.975377,77.696664,13.025377,77.746664,3,1,1,1,0.0,3,31,5,3,2022,0,0,0,1,0
29.0,4.8,12.906229,77.596791,12.986229,77.676791,5,4,0,1,0.0,2,15,14,3,2022,0,1,0,0,0
34.0,4.7,12.970221,77.645396,13.080221,77.755396,1,1,0,1,2.0,3,40,2,3,2022,0,0,0,1,1
33.0,4.8,0.0,0.0,0.04,0.04,3,2,1,1,1.0,3,32,11,3,2022,1,0,0,0,0
34.0,4.2,0.0,0.0,0.04,0.04,1,2,2,3,0.0,2,37,13,2,2022,0,0,1,0,0
26.0,4.3,17.438263,78.397865,17.498263,78.457865,6,1,0,1,0.0,3,48,15,3,2022,0,0,0,1,0
21.0,4.7,13.086438,80.220672,13.156439,80.290672,2,4,1,2,1.0,2,22,20,3,2022,1,0,0,0,0
27.0,4.8,12.337928,76.617889,12.427928,76.707889,1,3,0,1,1.0,2,36,16,3,2022,1,0,0,0,0
31.0,4.8,11.001852,76.976268,11.061852,77.036268,3,3,1,1,1.0,2,25,9,3,2022,1,0,0,0,0
27.0,4.6,22.751857,75.866699,22.791857,75.906699,4,3,0,1,1.0,3,15,3,3,2022,0,0,1,0,0
21.0,4.7,12.323994,76.626167,12.413994,76.716167,4,1,1,2,0.0,3,15,6,3,2022,1,0,0,0,0
34.0,4.2,26.849596,75.800512,26.929596,75.880512,5,1,0,1,1.0,2,51,29,3,2022,0,0,0,1,1
29.0,4.8,0.0,0.0,0.06,0.06,1,3,0,1,1.0,2,28,9,3,2022,0,1,0,0,0
22.0,4.2,0.0,0.0,0.02,0.02,5,4,0,1,1.0,2,29,3,4,2022,0,0,1,0,0
20.0,4.7,17.450851,78.379347,17.540851,78.469347,4,1,1,1,1.0,2,29,10,3,2022,0,0,1,0,0
26.0,4.5,23.351058,85.325731,23.391058,85.365731,6,2,0,1,1.0,3,46,7,3,2022,0,1,0,0,0
36.0,4.3,23.214459,77.434976,23.344459,77.564976,2,4,2,2,1.0,2,36,18,2,2022,0,0,0,1,0
27.0,4.7,22.761226,75.887522,22.831226,75.957521,6,1,2,1,0.0,2,12,31,3,2022,0,0,1,0,0
22.0,4.1,25.457116,81.859682,25.517116,81.919682,1,1,1,2,1.0,2,33,15,2,2022,0,0,0,1,0
32.0,4.1,12.321214,76.621094,12.411214,76.711094,4,1,0,1,1.0,2,45,25,3,2022,0,0,1,0,0
37.0,4.6,12.311072,76.654878,12.401072,76.744878,3,4,0,1,1.0,2,28,4,4,2022,1,0,0,0,0
25.0,4.6,12.98041,77.640489,13.09041,77.750489,2,4,1,2,0.0,2,27,4,4,2022,0,0,0,1,0
28.0,4.9,0.0,0.0,0.13,0.13,1,4,0,1,1.0,2,20,2,3,2022,0,0,0,1,0
32.0,4.3,12.352058,76.60665,12.422058,76.67665,2,1,2,1,1.0,2,39,4,3,2022,1,0,0,0,0
27.0,4.7,17.451976,78.385883,17.491976,78.425883,1,3,0,1,0.0,2,29,3,3,2022,0,0,1,0,0
29.6091523786525,,26.911378,75.789034,26.971378,75.849034,2,4,2,1,0.0,2,16,26,3,2022,0,0,1,0,0
33.0,4.9,0.0,0.0,0.07,0.07,1,1,1,2,2.0,2,40,2,4,2022,0,1,0,0,0
38.0,4.4,13.091809,80.219104,13.161809,80.289104,6,1,0,1,1.0,2,33,2,3,2022,0,1,0,0,0
22.0,4.7,12.972161,77.596014,13.052161,77.676014,2,1,0,1,1.0,2,35,4,3,2022,0,1,0,0,0
33.0,4.8,17.483216,78.552111,17.533216,78.602111,6,4,2,2,1.0,3,17,7,3,2022,0,0,0,1,0
26.0,4.5,30.327968,78.046106,30.357968,78.076106,5,4,0,1,1.0,2,20,13,2,2022,0,1,0,0,0
35.0,4.6,21.160522,72.771477,21.250522,72.861477,3,1,0,1,3.0,2,45,29,3,2022,0,0,1,0,1
24.0,4.8,12.323978,76.627961,12.373978,76.677961,4,3,1,1,1.0,2,23,3,4,2022,1,0,0,0,0
29.0,4.9,12.325461,76.632278,12.455461,76.762278,3,4,1,2,0.0,2,17,14,3,2022,0,1,0,0,0
27.0,4.7,26.472001,80.354002,26.482001,80.364002,4,4,1,1,0.0,2,10,13,2,2022,0,0,1,0,0
24.0,4.7,11.025083,77.015393,11.115083,77.105393,1,3,2,2,1.0,2,32,20,3,2022,0,0,1,0,0
35.0,4.2,22.310329,73.169083,22.340329,73.199083,5,1,2,3,0.0,2,33,28,3,2022,0,0,1,0,0
24.0,4.5,0.0,0.0,0.04,0.04,1,2,0,1,0.0,2,28,28,3,2022,0,0,1,0,0
22.0,4.9,12.337978,76.616792,12.387978,76.666792,3,1,1,1,0.0,2,12,26,3,2022,0,1,0,0,0
24.0,4.7,11.010375,76.95295,11.060375,77.00295,1,1,1,1,1.0,2,24,3,4,2022,1,0,0,0,0
31.0,4.7,0.0,0.0,0.06,0.06,6,1,1,1,0.0,2,16,17,3,2022,0,1,0,0,0
39.0,4.5,13.064181,80.236442,13.114181,80.286442,1,1,1,2,1.0,2,30,7,3,2022,0,0,1,0,0
35.0,4.9,12.304569,76.643622,12.434569,76.773622,2,1,2,3,2.0,2,47,16,3,2022,0,0,1,0,0
29.6091523786525,,-17.424114,-78.347554,17.464114,78.387554,3,2,1,2,1.0,3,17,7,3,2022,0,1,0,0,0
35.0,3.5,27.163303,78.057044,27.243303,78.137044,4,3,1,1,1.0,3,31,12,2,2022,0,0,0,1,0
36.0,4.2,22.751857,75.866699,22.881857,75.996699,5,1,2,2,1.0,2,42,12,3,2022,0,1,0,0,0
39.0,4.6,12.906229,77.596791,12.946229,77.636791,3,2,2,2,1.0,3,25,1,3,2022,0,0,0,1,0
29.0,4.9,21.17106,72.789292,21.26106,72.879292,1,4,1,2,1.0,2,26,4,3,2022,0,0,0,1,0
25.0,4.2,23.354422,85.3329,23.394422,85.3729,6,2,0,1,1.0,2,44,11,3,2022,0,0,1,0,0
39.0,4.8,19.22384,72.841347,19.28384,72.901347,1,3,1,2,0.0,3,17,7,3,2022,0,0,0,1,0
27.0,4.5,25.449872,81.836167,25.509872,81.896167,6,3,2,2,1.0,2,18,11,2,2022,1,0,0,0,0
23.0,4.8,11.022298,76.998349,11.072298,77.048349,5,1,1,2,0.0,2,13,28,3,2022,0,1,0,0,0
37.0,4.8,13.054347,80.257221,13.164347,80.367221,2,1,0,1,1.0,2,42,6,3,2022,0,0,0,1,0
29.0,4.7,13.026279,80.174568,13.046279,80.194568,2,2,0,1,1.0,2,28,7,3,2022,0,0,0,1,0
22.0,2.5,23.371292,85.327872,23.441292,85.397872,6,4,2,1,1.0,2,35,2,3,2022,1,0,0,0,0
30.0,4.9,26.846156,75.8023,26.886156,75.8423,6,3,2,2,0.0,3,15,1,3,2022,1,0,0,0,0
22.0,4.6,23.333017,85.3172,23.343017,85.3272,1,4,1,2,1.0,3,15,7,3,2022,0,1,0,0,0
24.0,4.8,12.337928,76.617889,12.417928,76.697889,6,3,1,2,0.0,2,14,29,3,2022,0,0,1,0,0
36.0,4.9,21.186884,72.793616,21.236884,72.843616,4,1,1,2,0.0,2,28,1,3,2022,0,0,1,0,0
20.0,4.9,19.866969,75.318894,19.956969,75.408894,1,4,2,3,0.0,2,20,14,2,2022,0,1,0,0,0
22.0,4.9,12.979166,77.640709,13.029166,77.690709,6,1,2,1,1.0,2,19,26,3,2022,0,0,1,0,0
35.0,4.5,26.913483,75.803139,27.053483,75.943139,3,3,1,1,0.0,3,21,4,4,2022,1,0,0,0,0
28.0,4.8,17.41233,78.449654,17.46233,78.499654,5,3,2,2,1.0,2,28,26,3,2022,0,0,0,1,0
28.0,4.7,12.326356,76.619103,12.346356,76.639103,1,4,2,2,1.0,2,18,26,3,2022,0,1,0,0,0
29.0,4.2,22.745536,75.893106,22.765536,75.913106,1,2,2,2,1.0,2,33,1,4,2022,0,0,0,1,0
26.0,5.0,18.554382,73.798206,18.604382,73.848206,5,1,1,2,1.0,2,26,11,3,2022,1,0,0,0,0
27.0,4.7,12.323225,76.630028,12.453225,76.760028,4,1,1,1,1.0,3,18,8,3,2022,1,0,0,0,0
35.0,4.5,18.554382,73.798206,18.624382,73.868206,5,3,2,1,1.0,3,34,27,3,2022,0,1,0,0,0
21.0,4.6,13.081878,80.248519,13.121878,80.288519,4,2,1,2,0.0,3,13,28,3,2022,0,1,0,0,0
31.0,3.6,12.3085,76.665808,12.4185,76.775808,3,1,1,2,1.0,2,33,2,4,2022,0,0,0,1,0
39.0,4.5,12.323194,76.630583,12.343194,76.650583,3,4,1,2,1.0,2,29,30,3,2022,0,0,0,1,0
38.0,4.7,15.546594,73.760431,15.586594,73.800431,6,2,2,2,1.0,2,22,13,2,2022,0,0,0,1,0
24.0,4.9,11.008638,76.984311,11.078638,77.054311,3,3,1,1,0.0,2,26,29,3,2022,0,0,0,1,0
29.0,4.9,18.55144,73.804855,18.61144,73.864855,5,4,1,1,1.0,2,15,1,3,2022,0,0,1,0,0
20.0,4.7,17.455894,78.375467,17.495894,78.415467,3,2,2,2,0.0,2,10,17,3,2022,1,0,0,0,0
20.0,4.1,26.902908,75.792934,26.972908,75.862934,1,1,1,1,1.0,2,39,27,3,2022,0,0,0,1,0
23.0,4.9,23.359407,85.325055,23.449407,85.415055,3,1,1,1,1.0,2,17,8,3,2022,0,0,0,1,0
26.0,4.3,9.960846,76.293936,9.980846,76.313936,5,4,0,1,0.0,3,17,17,2,2022,0,1,0,0,0
20.0,4.3,12.975996,80.221898,13.035996,80.281898,3,4,0,1,1.0,2,17,24,3,2022,1,0,0,0,0
28.0,5.0,13.02978,80.208812,13.07978,80.258812,4,4,1,1,0.0,2,17,13,3,2022,0,0,1,0,0
29.6091523786525,,26.90294,75.793007,26.92294,75.813007,1,4,1,2,1.0,2,14,5,3,2022,0,1,0,0,0
22.0,3.2,25.450377,81.834236,25.530377,81.914236,6,4,1,2,1.0,2,41,12,2,2022,1,0,0,0,1
23.0,5.0,0.0,0.0,0.05,0.05,2,3,0,1,0.0,2,21,3,3,2022,0,1,0,0,0
37.0,4.7,0.0,0.0,0.13,0.13,2,1,0,1,3.0,2,52,8,3,2022,0,0,1,0,0
28.0,4.1,13.027018,80.254791,13.057018,80.284791,6,1,0,1,1.0,2,40,26,3,2022,0,1,0,0,0
37.0,4.6,12.352058,76.60665,12.412058,76.66665,4,4,1,2,0.0,2,29,26,3,2022,1,0,0,0,0
34.0,4.7,23.218998,77.373573,23.238998,77.393573,5,4,2,3,0.0,2,24,15,2,2022,0,1,0,0,0
21.0,4.5,21.186884,72.793616,21.216884,72.823616,5,1,2,3,0.0,2,17,9,3,2022,0,0,1,0,0
33.0,5.0,26.911378,75.789034,26.921378,75.799034,5,4,1,1,0.0,2,27,17,3,2022,1,0,0,0,0
27.0,4.6,11.022298,76.998349,11.112298,77.088349,6,4,0,1,1.0,3,21,12,3,2022,0,0,0,1,0
26.0,4.5,22.753659,75.903365,22.823659,75.973365,4,1,1,1,0.0,2,20,8,3,2022,0,0,0,1,0
31.0,4.7,26.892312,75.806896,27.022313,75.936896,6,4,2,2,0.0,2,27,16,3,2022,0,0,1,0,0
24.0,4.6,19.875016,75.322405,19.935016,75.382405,6,1,2,3,1.0,3,19,11,2,2022,0,0,0,1,0
38.0,4.7,17.483216,78.552111,17.563216,78.632111,3,3,0,1,2.0,2,45,10,3,2022,0,1,0,0,0
20.0,4.9,13.02978,80.208812,13.13978,80.318812,3,3,0,1,1.0,2,31,6,3,2022,0,0,0,1,0
23.0,4.5,22.751234,75.88949,22.791234,75.92949,1,3,0,1,1.0,3,22,3,3,2022,0,1,0,0,0
25.0,5.0,17.431477,78.40035,17.471477,78.44035,5,2,1,2,0.0,3,20,28,3,2022,0,0,0,1,0
37.0,4.7,11.016298,76.972076,11.126298,77.082076,3,4,1,2,1.0,2,21,6,4,2022,0,0,0,1,0
39.0,4.6,12.933298,77.614293,12.973298,77.654293,6,3,1,2,1.0,2,23,19,3,2022,0,0,1,0,0
25.0,4.6,17.429585,78.392621,17.509585,78.472621,1,4,2,2,1.0,2,25,23,3,2022,0,1,0,0,0
37.0,4.6,12.316967,76.603067,12.406967,76.693067,4,1,2,1,0.0,2,27,8,3,2022,0,0,1,0,0
29.6091523786525,,17.455894,78.375467,17.545894,78.465467,1,1,1,1,1.0,3,44,10,3,2022,0,0,1,0,0
21.0,4.8,-10.035573,76.336958,10.105573,76.406958,6,1,2,1,1.0,3,23,12,2,2022,1,0,0,0,0
32.0,4.3,23.374878,85.335739,23.464878,85.425739,2,1,1,2,0.0,2,39,14,3,2022,0,1,0,0,0
22.0,4.2,27.163303,78.057044,27.253303,78.147044,1,3,1,2,1.0,2,39,18,2,2022,0,0,1,0,0
33.0,4.6,19.888716,75.321461,20.018716,75.451461,6,3,2,2,1.0,2,19,14,2,2022,0,1,0,0,0
32.0,4.3,0.0,0.0,0.08,0.08,1,3,2,1,1.0,2,38,18,3,2022,0,0,1,0,0
28.0,4.8,13.044694,80.26147,13.084694,80.30147,5,3,2,2,1.0,2,27,21,3,2022,1,0,0,0,0
39.0,5.0,0.0,0.0,0.07,0.07,1,1,0,1,1.0,2,46,8,3,2022,1,0,0,0,1
31.0,4.6,23.354422,85.3329,23.404422,85.3829,6,3,0,1,1.0,2,21,9,3,2022,0,1,0,0,0
25.0,4.3,22.760072,75.892574,22.890072,76.022574,3,3,0,1,1.0,2,35,4,4,2022,1,0,0,0,0
21.0,4.8,21.17106,72.789292,21.18106,72.799292,4,4,2,2,1.0,2,16,1,3,2022,1,0,0,0,0
31.0,4.8,12.297954,76.665169,12.387954,76.755169,5,1,0,1,1.0,2,42,8,3,2022,0,1,0,0,0
30.0,4.6,-26.472001,80.354002,26.552001,80.434002,5,1,0,1,1.0,2,42,18,2,2022,1,0,0,0,0
29.0,4.6,21.15276,72.778059,21.19276,72.818059,3,3,0,1,0.0,3,16,9,3,2022,1,0,0,0,0
29.0,4.5,12.316967,76.603067,12.426967,76.713067,3,4,2,2,0.0,2,14,23,3,2022,1,0,0,0,0
34.0,5.0,22.745536,75.893106,22.855536,76.003106,3,1,0,1,1.0,2,42,8,3,2022,0,1,0,0,1
32.0,4.4,23.230791,77.43702,23.270791,77.47702,5,2,0,1,1.0,2,36,13,2,2022,0,0,0,1,0
24.0,4.8,22.753659,75.903365,22.813659,75.963365,6,3,0,1,1.0,2,24,11,3,2022,0,0,0,1,0
36.0,4.7,26.846156,75.8023,26.886156,75.8423,4,2,0,1,1.0,2,36,9,3,2022,0,0,1,0,0
39.0,4.7,15.544419,73.755736,15.624419,73.835736,5,3,0,1,2.0,2,37,18,2,2022,0,1,0,0,0
22.0,4.9,11.006686,76.951736,11.066686,77.011736,5,1,1,1,1.0,3,15,24,3,2022,0,0,0,1,0
26.0,4.6,12.323978,76.627961,12.333978,76.637961,4,4,2,2,0.0,3,17,15,3,2022,1,0,0,0,0
39.0,4.1,11.024839,77.007003,11.094839,77.077003,5,3,0,1,0.0,3,37,8,3,2022,0,0,0,1,0
28.0,4.9,11.001753,76.986241,11.071753,77.056241,5,3,0,1,1.0,2,23,18,3,2022,0,1,0,0,0
21.0,4.8,19.221315,72.862381,19.231315,72.872381,4,4,2,1,1.0,3,17,13,3,2022,1,0,0,0,0
